Gene Systematic Name,Gene Standard Name,WT_1.rpkm,WT_2.rpkm,WT_3.rpkm,r0_1.rpkm,r0_2.rpkm,r0_3.rpkm,log2 (r0/WT),P value (r0/WT),FDR (r0/WT)
YPR159W,KRE6,158.0109121,158.8763383,163.2558644,187.5544888,187.8979783,186.5631257,0.141809889,0.000122216,0.000319483
YPR159C-A,-,0.793267238,0,0.874680307,0,0.826840096,0,-0.756305672,0.61447792,0.697916281
YPR158W-B,-,0.67542845,0.587896968,0.575486872,0.842929137,0.880017632,0.910075463,0.42757716,0.022522206,0.03894686
YPR158W-A,-,0.061158925,0.060057851,0,0,0,0,-2.645571906,0.149873501,0.211275681
YPR158W,CUR1,21.96064716,19.68093391,20.33545282,20.78717512,22.89007128,24.63575819,0.052280704,0.584440471,0.672271638
YPR158C-D,-,4.315988148,4.509776836,5.182331385,6.747273321,6.499829548,6.281238375,0.398183822,2.17E-05,6.43E-05
YPR158C-C,-,16.8798634,17.77712378,20.50044365,26.59254383,25.62641821,24.49302867,0.395209483,3.05E-05,8.85E-05
YPR157W,TDA6,19.76727035,22.0712601,24.52842809,19.43960294,18.62156968,25.03235344,-0.162738346,0.10181744,0.150093313
YPR156C,TPO3,79.26815186,83.835361,85.8281806,62.63324938,62.99380147,71.3414854,-0.42468348,1.89E-08,9.77E-08
YPR155C,NCA2,16.6984682,14.33737609,15.37566063,22.09317464,21.91595289,22.47795786,0.432176115,2.27E-06,7.99E-06
YPR154W,PIN3,88.90469115,90.3695483,89.76811593,120.6202606,113.6216099,127.3581993,0.338601233,1.63E-06,5.88E-06
YPR153W,-,14.72889098,14.46371938,12.86586494,14.57661045,18.34294908,15.50632123,0.119064294,0.414517352,0.504435097
YPR152C,URN1,11.74920703,13.1859202,12.63593954,15.43681815,12.91006124,13.5152623,0.069039488,0.447695424,0.539262609
YPR151C,SUE1,5.081508971,5.373872024,4.597353496,18.83588857,18.47008987,22.70101278,1.896094187,3.37E-11,3.29E-10
YPR150W,-,4.805193497,6.39305465,5.298350824,18.41294961,18.58014239,22.88040297,1.761535849,5.51E-10,4.03E-09
YPR149W,NCE102,680.4774016,705.2148141,685.0254871,1002.116097,1017.060838,1029.055501,0.47208234,8.01E-13,1.18E-11
YPR148C,-,124.3391812,118.4558455,129.1196649,166.7229319,172.4796026,173.1180016,0.377189477,4.36E-09,2.57E-08
YPR147C,-,46.24878039,47.93443505,47.29009265,55.99063025,55.85643718,60.45075023,0.196821632,0.001796934,0.003859239
YPR146C,-,35.79798698,30.09717286,33.52411067,38.74299363,41.40213863,40.64255186,0.196332217,0.075143825,0.114958114
YPR145W,ASN1,907.0851655,899.9989642,893.6790347,779.4681947,726.7073073,723.6145914,-0.362257654,8.05E-11,7.15E-10
YPR145C-A,-,4.438279988,7.040452589,7.52889378,12.62564565,6.049538931,12.39216679,0.606507562,0.056435388,0.089418616
YPR144C,NOC4,110.8106828,105.1757407,106.6414026,96.63264721,87.59122334,83.85366193,-0.35263607,1.36E-07,5.94E-07
YPR143W,RRP15,188.9050571,197.1113014,192.8896587,170.5125226,168.5633773,153.2827101,-0.317934418,2.09E-07,8.87E-07
YPR142C,-,134.7119672,139.8942209,136.3570768,124.4370936,121.7214175,111.0900626,-0.286210831,8.86E-06,2.79E-05
YPR141C,KAR3,19.98816105,19.26548895,18.41381775,22.02700852,20.60304294,17.56801837,-0.021768709,0.755087343,0.823374507
YPR140W,TAZ1,41.44509824,41.11494421,41.65035283,65.75130978,67.85283594,72.95374559,0.646750902,7.02E-11,6.35E-10
YPR139C,LOA1,70.87750528,65.72982576,69.06196734,69.48744551,62.01575418,71.22819854,-0.109068741,0.069261493,0.106900022
YPR138C,MEP3,106.7834837,97.50992626,98.32120673,96.47336263,98.10710854,89.37365568,-0.176796883,0.000814081,0.001862923
YPR137W,RRP9,148.4349493,143.5939263,148.7474625,125.4812677,112.3033233,112.3952256,-0.417585191,1.70E-09,1.10E-08
YPR137C-B,-,0.030718777,0.015082866,0.016935723,0.034424864,0.048028297,0.092917727,1.284998703,0.121063906,0.175096691
YPR137C-A,-,0.061158925,0.060057851,0,0.068537484,0,0,-0.755926548,0.613934792,0.697893085
YPR136C,-,162.6151447,149.6199106,142.6086956,121.4303857,105.381012,109.3481899,-0.524335943,2.21E-08,1.13E-07
YPR135W,CTF4,27.31985012,27.68420987,25.60513493,24.88353803,26.23435322,26.26792165,-0.145989515,0.006908389,0.013287228
YPR134W,MSS18,19.5515308,20.97179956,22.66364958,29.10142341,26.2314252,31.66221648,0.373399878,0.000441524,0.001054391
YPR133W-A,TOM5,354.3260328,320.942088,362.117647,485.9710785,519.806807,527.2421498,0.479005065,2.82E-08,1.41E-07
YPR133C,SPN1,114.7091447,113.4172782,110.2735639,111.560514,112.1766515,102.7414146,-0.136717397,0.003117344,0.006396271
YPR132W,RPS23B,2109.840919,2207.367887,2164.234663,1650.990535,1733.543884,1634.764457,-0.454080693,1.12E-12,1.58E-11
YPR131C,NAT3,42.93356559,48.51172883,53.71251108,53.20222204,51.77875173,53.44438054,0.043331956,0.567431054,0.656947797
YPR130C,-,122.1631546,130.2853501,134.4820972,135.7903943,127.1266648,127.1715744,-0.072820006,0.187868675,0.256171485
YPR129W,SCD6,126.6870443,131.1411214,133.656149,130.8312034,128.5145749,126.8946077,-0.104468172,0.010794723,0.019959314
YPR128C,ANT1,50.90894971,53.93706116,52.69882383,54.4785504,54.003465,54.15640549,-0.039924886,0.436111202,0.52696092
YPR127W,-,39.20941126,36.20707293,40.65493842,50.66623608,56.06262617,52.91025432,0.377137496,3.36E-06,1.14E-05
YPR126C,-,153.4471499,163.7987497,153.0265935,189.5666961,181.2305049,163.4803518,0.099480063,0.099917518,0.147751035
YPR125W,YLH47,106.7580792,108.1540253,107.1262303,129.4694163,116.7752628,117.1908602,0.088559305,0.042323589,0.068999748
YPR124W,CTR1,190.9844474,168.544168,100.9084499,248.0383338,225.3149419,245.6673484,0.549946717,0.000233326,0.000583807
YPR123C,-,184.1474153,153.9812877,88.80719639,233.670753,208.6146074,222.8026125,0.541206925,0.000686089,0.001593051
YPR122W,AXL1,21.48317278,23.68142151,20.76081562,32.12503241,31.01915583,28.85389792,0.394386646,1.57E-07,6.82E-07
YPR121W,THI22,10.2612509,8.597391369,8.77122695,12.87069361,14.81674364,14.46545775,0.52254753,1.30E-05,3.97E-05
YPR120C,CLB5,25.98132145,24.78460767,23.122856,22.32215555,21.34233587,17.81326605,-0.348656746,0.000243239,0.000605508
